method,n_ticker_date_groups,pct_buy,pct_hold,pct_sell,insufficient_data,n_samples,hit_rate,avg_forward_return,sharpe,max_drawdown,turnover,false_positive_rate,coverage,decision_stability_vs_other_methods,pairwise_stability::majority_vote_vs_confidence_weighted_vote,pairwise_stability::confidence_weighted_vote_vs_interwoven_calibrated_fusion,pairwise_stability::majority_vote_vs_interwoven_calibrated_fusion
majority_vote,40,0.2,0.075,0.725,False,40,0.6486486486486487,0.0021240555282201674,2.134407972655466,-0.08006903302708086,0.5333333333333333,0.35135135135135137,1.0,0.5875,0.65,0.825,0.525
confidence_weighted_vote,40,0.15,0.325,0.525,False,40,0.6296296296296297,0.0004563674403143869,0.4503355711429438,-0.06689535135353145,0.5761904761904761,0.37037037037037035,1.0,0.7375,0.65,0.825,0.525
interwoven_calibrated_fusion,40,0.075,0.5,0.425,False,40,0.6,-0.0006932533349795933,-0.8940052010136076,-0.06689535135353157,0.6,0.4,1.0,0.675,0.65,0.825,0.525
